Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY
Date,,,,,,,,,,,,,,,
2018-02-26,13144.9755859375,1102.2913818359375,245.99085998535156,13267.634765625,1116.6011962890625,246.088243572456,12040.5927734375,1063.006591796875,243.65400507005538,12229.89453125,1069.107666015625,244.24705895945638,9240791224,2592400640,86491400.0
2018-02-27,13697.6630859375,1121.6322021484375,242.91932678222656,13837.4521484375,1136.6356201171875,246.8937933034252,12993.0791015625,1098.4384765625,242.85735785564086,13179.4658203125,1103.622802734375,246.17677446368472,8896508274,2623137899,99099200.0
2018-02-28,13340.505859375,1097.2203369140625,240.45843505859375,14163.892578125,1137.02392578125,244.47714801420884,13334.3466796875,1097.295166015625,240.13978416138914,13648.623046875,1121.2095947265625,244.0256988963652,8899131708,2519786381,121907800.0
2018-03-01,14051.228515625,1119.119873046875,236.9620819091797,14165.732421875,1128.2830810546875,241.80400502534727,13286.6552734375,1093.3541259765625,235.45726900861993,13323.955078125,1098.263427734375,240.2460836236835,9388801640,2397497930,176855100.0
2018-03-02,14277.06640625,1103.455322265625,238.18353271484375,14345.4169921875,1124.5682373046875,238.75005924064004,13978.18359375,1100.2210693359375,234.41269520471468,14085.1025390625,1118.560302734375,235.2801518038168,9813795905,2439634035,139083200.0
2018-03-03,14796.435546875,1103.934326171875,,14846.0166015625,1118.39501953125,,14168.8916015625,1101.3355712890625,,14297.02734375,1103.2724609375,,8616116355,2188448665,
2018-03-04,14836.287109375,1116.887939453125,,14836.287109375,1118.961181640625,,14341.0693359375,1082.1126708984375,,14806.3525390625,1102.5963134765625,,7840643796,2188135237,
2018-03-05,15019.828125,1107.9111328125,240.93650817871094,15204.7958984375,1122.1097412109375,241.5561433428676,14750.04296875,1107.4422607421875,236.88237938952693,14861.8046875,1117.1044921875,236.98862339949414,8394871087,2463860301,97307400.0
2018-03-06,13957.8154296875,1057.7880859375,241.5472869873047,14929.4296875,1108.42529296875,241.9987362434591,13791.369140625,1043.920166015625,240.04247414244256,14924.8291015625,1108.083740234375,241.91904648127291,8846293695,2515886974,79213200.0
2018-03-07,12860.568359375,971.5283813476562,241.458740234375,14097.9619140625,1066.4365234375,241.8128058652085,12500.896484375,943.4212646484375,239.17499395404417,13988.890625,1056.90771484375,239.36973410302403,11353702876,2807379386,87063500.0
2018-03-08,12115.8046875,908.6470336914062,242.6271209716797,13115.5146484375,1000.0164794921875,242.75103175568495,12057.2763671875,897.4314575195312,241.14002948280034,12842.333984375,971.1915893554688,242.14025721320425,9267181643,2439459027,66901200.0
2018-03-09,11963.2685546875,933.88720703125,246.84939575195312,12211.5908203125,934.1947021484375,246.84939575195312,10970.7421875,835.3450927734375,243.7247208821867,12141.1845703125,905.5532836914062,244.04339876548187,11151808823,2860945101,113625300.0
2018-03-10,11359.119140625,880.04345703125,,12211.52734375,958.3773193359375,,11311.03515625,874.6688232421875,,11979.9755859375,935.48095703125,,6900953020,1964028352,
2018-03-11,12273.0986328125,926.8142700195312,,12442.873046875,942.9674072265625,,11027.4423828125,855.9991455078125,,11342.181640625,878.021728515625,,8067539107,2002261966,
2018-03-12,11822.1357421875,898.79296875,246.5395965576172,12745.837890625,952.199951171875,247.77000609428472,11497.369140625,877.0427856445312,246.15011634554043,12304.2333984375,928.181396484375,247.1415377121259,8293238573,2266789418,71924800.0
2018-03-13,11911.927734375,894.9664306640625,244.94635009765625,12165.650390625,916.3643188476562,248.21265765000777,11509.4833984375,885.2808837890625,244.33557538373836,11780.935546875,896.637939453125,247.7080999274709,7761521663,1847331097,91968900.0
2018-03-14,10713.5380859375,795.8140258789062,243.68936157226562,12119.5673828125,909.4727783203125,246.0970455182867,10452.0517578125,769.5971069335938,243.1317224234172,11937.5791015625,895.4741821289062,245.9111658020039,8340726986,2345580480,105895100.0
2018-03-15,10834.283203125,797.8740234375,243.4238739013672,10977.0830078125,808.2903442382812,244.84899706937372,10080.6064453125,750.4010009765625,242.9193161158636,10740.6796875,796.52392578125,244.20283462000842,8920297973,2310804434,83433000.0
2018-03-16,10916.5673828125,787.701171875,243.68775939941406,11239.6787109375,815.6646118164062,244.74534151362334,10458.9375,768.0416870117188,243.63443821060204,10863.0625,798.49267578125,243.9543653434741,6924856087,1855594641,100343700.0
