Date,BTC-CAD,ETH-CAD,SPY
2019-06-17,12500.9228515625,367.9734191894531,262.1589050292969
2019-06-18,12145.822265625,354.4766540527344,264.9039306640625
2019-06-19,12307.5859375,357.5831604003906,265.5018920898437
2019-06-20,12562.904296875,358.2681884765625,268.0386047363281
2019-06-21,13422.2734375,390.1960754394531,267.6489562988281
2019-06-22,14159.41796875,409.3414001464844,
2019-06-23,14330.7177734375,406.37884521484375,
2019-06-24,14518.05078125,409.2924499511719,267.3211669921875
2019-06-25,15539.8388671875,419.2745666503906,264.6993408203125
2019-06-26,17080.419921875,441.9010009765625,264.4353942871094
2019-06-27,14643.60546875,385.3361206054688,265.3730163574219
2019-06-28,16263.3818359375,407.9514465332031,266.738525390625
2019-06-29,15676.2001953125,419.5293884277344,
2019-06-30,14160.857421875,380.5533447265625,
2019-07-01,13901.126953125,385.7026062011719,269.1601257324219
2019-07-02,14150.73828125,382.00592041015625,269.8611145019531
2019-07-03,15618.6064453125,395.7773132324219,272.0187072753906
2019-07-04,14635.83203125,371.2948303222656,
2019-07-05,14362.197265625,376.7629699707031,271.70916748046875
2019-07-06,14663.205078125,376.1737365722656,
2019-07-07,14973.7001953125,399.7493286132813,
2019-07-08,16097.8974609375,410.44329833984375,270.2162170410156
2019-07-09,16506.2734375,405.4835510253906,270.5530090332031
2019-07-10,15892.8779296875,379.135986328125,271.845703125
2019-07-11,14844.0107421875,351.154541015625,272.4830017089844
2019-07-12,15407.4560546875,360.2510070800781,273.702880859375
2019-07-13,14855.0927734375,351.3608093261719,
2019-07-14,13369.28515625,296.6593933105469,
2019-07-15,14216.490234375,299.8238830566406,273.7938842773437
2019-07-16,12402.6318359375,260.66229248046875,272.9107971191406
2019-07-17,12653.9990234375,276.0661315917969,271.0537414550781
2019-07-18,13914.0107421875,295.5467224121094,272.0459899902344
2019-07-19,13754.8740234375,289.09796142578125,270.53485107421875
2019-07-20,14063.6611328125,299.2675170898437,
2019-07-21,13836.5703125,294.54901123046875,
2019-07-22,13578.9775390625,285.62432861328125,271.19940185546875
2019-07-23,13011.0947265625,279.55718994140625,273.13848876953125
2019-07-24,12896.158203125,285.2716369628906,274.42205810546875
2019-07-25,13045.1640625,289.0434265136719,273.1112060546875
2019-07-26,13006.5927734375,289.4169006347656,274.94097900390625
2019-07-27,12489.2099609375,273.31231689453125,
2019-07-28,12581.0693359375,278.1316223144531,
2019-07-29,12532.498046875,278.1464538574219,274.4403076171875
2019-07-30,12632.234375,276.8037414550781,273.7666015625
2019-07-31,13309.306640625,288.54278564453125,270.7714538574219
2019-08-01,13742.7783203125,287.8258056640625,268.4136657714844
2019-08-02,13903.7333984375,287.9994201660156,266.39263916015625
2019-08-03,14304.9912109375,294.1048583984375,
2019-08-04,14484.197265625,293.9961853027344,
2019-08-05,15600.5693359375,309.5032043457031,258.38140869140625
2019-08-06,15244.845703125,300.19158935546875,262.004638671875
2019-08-07,15895.177734375,301.3343505859375,262.159423828125
